"Path","From","To","Action"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\BuildLog.htm.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\cl.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\link-cvtres.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\link-cvtres.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\link.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\link.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\link.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\MakeFileList.exe.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\MakeFileList.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\MakeFileList.tlog\CL.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\MakeFileList.tlog\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\MakeFileList.tlog\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\MakeFileList.tlog\link.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\MakeFileList.tlog\link.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\MakeFileList.tlog\link.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\Tool\MakeFileList\Release\MakeFileList.tlog\rc.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
